what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1422183926187
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1422183926187
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1422183926189
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1422183926207
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1422183926209
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1422183926210
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1422183926211
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1422183926212
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1422183926214
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1422183926215
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1422183926216
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1422183926231
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1422183926232
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1422183926233
os,sysinfo,,,"win32",1422183926239
arch,sysinfo,,,"x86_64",1422183926239
ws,sysinfo,,,"win32",1422183926239
locale,sysinfo,,,"en_US",1422183926239
processors,sysinfo,,,"4",1422183926239
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422183926239
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1422183926239
java.specification.name,sysinfo,,,"Java Platform API Specification",1422183926239
java.specification.vendor,sysinfo,,,"Oracle Corporation",1422183926239
java.specification.version,sysinfo,,,"1.7",1422183926239
java.vendor,sysinfo,,,"Oracle Corporation",1422183926239
java.version,sysinfo,,,"1.7.0_67",1422183926239
java.vm.info,sysinfo,,,"mixed mode",1422183926239
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1422183926239
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422183926239
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1422183926239
java.vm.specification.version,sysinfo,,,"1.7",1422183926239
java.vm.vendor,sysinfo,,,"Oracle Corporation",1422183926239
java.vm.version,sysinfo,,,"24.65-b04",1422183926240
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1422183926485
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1422183926535
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1422183926617
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1422183927145
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1422183927212
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1422183927338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422183929044
started,bundle,com.amazonaws.eclipse.core,2.1.0.v201407151453,"com.amazonaws.eclipse.core",1422183933834
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1422183934085
started,bundle,com.amazonaws.eclipse.elasticbeanstalk,1.0.0.v201407021559,"com.amazonaws.eclipse.elasticbeanstalk",1422183934177
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1422183934248
